Project Name;Description;Project Link;Technology;Last Updated
graphql-api-graphql-yoga;;https://github.com/ammarisme/graphql-api-graphql-yoga;;Mar 4, 2023
choreo-shcedule-trigger;Ballerina;https://github.com/ammarisme/choreo-shcedule-trigger;Ballerina;Mar 4, 2023
choreo-graphql;;https://github.com/ammarisme/choreo-graphql;;Mar 3, 2023
web-crawler-ballerina;;https://github.com/ammarisme/web-crawler-ballerina;;Feb 28, 2023
samples-apim;Forked from wso2/samples-apim;https://github.com/ammarisme/samples-apim;Shell / Java / JavaScript / Dockerfile / Ballerina;Feb 28, 2023
choreo-demo-react-app;;https://github.com/ammarisme/choreo-demo-react-app;JavaScript / HTML / CSS / Dockerfile / Other / React / Testing Library;Feb 23, 2023
choreo-hackathon;choreo-hackathon;https://github.com/ammarisme/choreo-hackathon;Ballerina;Feb 23, 2023
choreo-samples;Forked from wso2/choreo-samples;https://github.com/ammarisme/choreo-samples;Ballerina / TypeScript / Other / TypeScript;Feb 17, 2023
docs-is;Forked from wso2/docs-is;https://github.com/ammarisme/docs-is;CSS / HTML / JavaScript / Java;Jan 20, 2023
wso2-products;;https://github.com/ammarisme/wso2-products;;Nov 10, 2022
patient-pay-frontend;;https://github.com/ammarisme/patient-pay-frontend;TypeScript / CSS / JavaScript / React / TypeScript / Emotion / ESLint;Oct 11, 2022
patient-pay-backend;;https://github.com/ammarisme/patient-pay-backend;;Oct 10, 2022
hacker-rank-python-challenges;Python challenges from hackerrank.com;https://github.com/ammarisme/hacker-rank-python-challenges;Jupyter Notebook;Sep 13, 2022
unicorn;;https://github.com/ammarisme/unicorn;JavaScript / SCSS / Python / Other;Jul 15, 2022
cq;project cq;https://github.com/ammarisme/cq;JavaScript / SCSS / Other;Jun 10, 2022
fast-api-authserver;;https://github.com/ammarisme/fast-api-authserver;HTML / Python / Other;May 28, 2022
cq-backend;;https://github.com/ammarisme/cq-backend;Python / Makefile / Shell / Dockerfile;May 25, 2022
cq-backend-flask;;https://github.com/ammarisme/cq-backend-flask;Python / Makefile / Shell / HTML / Dockerfile;May 25, 2022
